spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
-0.06582348776415922,-0.538712542534867,-0.486670078692643,-0.32362615298704955,-0.15459825245461817,-0.04091803000327698,1.0,0.0,0,0.0011820743301816897,2009-12-25 09:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.06789718373602378,-0.537771567222341,-0.48646184546287813,-0.32035273341858594,-0.15542507961480712,-0.04163524816913554,1.0,0.0,0,0.0015294774950443926,2009-12-25 10:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.06980033860926874,-0.5368350539776702,-0.4862540558396292,-0.317201590150104,-0.15624501563613077,-0.042351342104189706,1.0,0.0,0,0.002293339898076449,2009-12-25 11:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.07154117212785763,-0.5359016031378179,-0.48604585698796227,-0.3141559359298464,-0.15705811168939987,-0.043066312688865904,1.0,0.0,0,0.002536264714040778,2009-12-25 12:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.07312905405664795,-0.5349703338099832,-0.4858367063056329,-0.311201322976869,-0.1578644143564436,-0.04378016009429909,0.5,0.5,0,0.0019114816322799955,2009-12-25 13:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.07456851009226445,-0.5340396470216076,-0.4856255844044556,-0.30832488829149735,-0.1586639618229975,-0.04449288313013593,0.5,0.5,0,0.0015989436476894737,2009-12-25 14:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.0758866661946178,-0.5331127451829814,-0.48541453299605186,-0.3055175226341896,-0.15945680769040338,-0.045204483274386614,0.5,0.5,0,0.0012515646189418218,2009-12-25 15:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.07709384634201737,-0.5321897956517423,-0.4852036753190099,-0.3027716852965078,-0.16024300608129888,-0.045914962165763344,0.5,0.5,0,0.0013557909987327833,2009-12-25 16:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.07820477629672162,-0.5312720548782748,-0.4849938331401666,-0.3000816724687603,-0.1610226170849363,-0.04662432252897053,0.5,0.5,0,0.000834550434416378,2009-12-25 17:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.07922802028060666,-0.5303597666926678,-0.4847851754541991,-0.2974427942063205,-0.1617957015720081,-0.047332567302120515,0.0,1.0,0,0.0012168200781741934,2009-12-25 18:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.08015350945326201,-0.529449528570384,-0.48457555102306726,-0.29484946879059426,-0.16256230323582305,-0.04803969658722974,0.0,1.0,0,0.0007650311601696237,2009-12-25 19:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.08099080155973977,-0.5285418670866322,-0.4843653004683284,-0.2922972794705596,-0.16332246798218167,-0.04874571092130538,0.0,1.0,0,0.00034781399258498554,2009-12-25 20:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
-0.0817573591654963,-0.5276390447845055,-0.4841558951871706,-0.2897836247328182,-0.16407625288153624,-0.049450612800625196,0.0,1.0,0,-0.0011814992513174449,2009-12-25 21:00:00,1.4373,0.0,1.0,0.4621171572600098,,,,,,
0.19003745638507427,-0.46866329080388247,-0.4487444830612772,-0.2610600626727396,-0.16454885859280183,-0.050108886756601,0.0,1.0,0,-0.001633618131504203,2009-12-25 22:00:00,1.4397,0.0016684049751233831,1.0,0.4621171572600098,,,,,,
0.17302879448224281,-0.46794870907979635,-0.4485593837079573,-0.23700560339734245,-0.16501758669288877,-0.050766133186170924,0.0,0.0,1,-0.0002434655595213752,2009-12-25 23:00:00,1.4397,0.0,1.0,0.4621171572600098,,,,,,
-0.06333339265152214,-0.5144230478411908,-0.476975555609899,-0.23816745834261338,-0.16570578122279223,-0.05145933574716093,0.0,0.0,1,0.0002785224402644358,2009-12-28 00:00:00,1.43775,-0.001355366938445901,1.0,0.4621171572600098,,,,,,
-0.2676170480512394,-0.5571232551587587,-0.5031722757141412,-0.25849141705439704,-0.16659434593064643,-0.052185584946942996,0.0,0.0,1,-0.0015650816167480691,2009-12-28 01:00:00,1.43595,-0.001252740533391694,1.0,0.4621171572600098,,,,,,
0.06254042781268486,-0.4883804083784861,-0.46188191831429687,-0.24428682851397215,-0.1671547308404674,-0.0528575799294675,0.0,0.0,1,-0.002503826596706175,2009-12-28 02:00:00,1.43875,0.001948029975620436,1.0,0.4621171572600098,,,,,,
0.15059986134288011,-0.4670401191632061,-0.4492216094325281,-0.22294345626598308,-0.1676131188252138,-0.05351240142763431,0.0,0.0,1,-0.002365465325335107,2009-12-28 03:00:00,1.4396,0.0005906161687832534,1.0,0.4621171572600098,,,,,,
0.07488082831528904,-0.4796438645148072,-0.4571039447531203,-0.2110555655976848,-0.16813072674970692,-0.0541766316540444,0.0,0.0,1,-0.0002086883942045188,2009-12-28 04:00:00,1.43905,-0.0003821235695152802,1.0,0.4621171572600098,,,,,,
-0.08638119693193368,-0.511567559300823,-0.47671497511122074,-0.2157373246388231,-0.16879865509649253,-0.054865426425172774,0.0,0.0,1,-0.0013211419367643068,2009-12-28 05:00:00,1.4377,-0.0009385592068135716,1.0,0.4621171572600098,,,,,,
