spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
-1.023004967721983,-1.1967938880175404,-1.2733187157269006,-1.323203410753124,-0.7794710052580365,-0.9896999845052458,0.006403101640537881,2012-05-18 09:00:00,1.2673,0.0012633242896158414,1.0,0.4621171572600098,,,,,,
-0.8125277988887148,-1.151439110274798,-1.2449488699241362,-1.29832710915078,-0.7817578107562126,-0.9906028377311962,0.006045635341509967,2012-05-18 10:00:00,1.26875,0.001143510702078937,1.0,0.4621171572600098,,,,,,
-0.6667021319740568,-1.118025668741846,-1.224224210218709,-1.262159275999443,-0.7838679768330422,-0.9914749518760214,0.006127036959556173,2012-05-18 11:00:00,1.2698,0.0008272439462520821,1.0,0.4621171572600098,,,,,,
-0.750441119273964,-1.1348397835798445,-1.2359134760929433,-1.2384053279952476,-0.7860504544219561,-0.9923628573091368,0.003888228294723503,2012-05-18 12:00:00,1.26915,-0.0005120226977299859,1.0,0.4621171572600098,,,,,,
-0.5538410334498224,-1.0896969892306476,-1.2075755313903582,-1.1981654359575158,-0.7879989515619581,-0.9932091137207856,0.0026322524873018255,2012-05-18 13:00:00,1.2706,0.0011418447938132403,1.0,0.4621171572600098,,,,,,
-0.5051259199109263,-1.0756555993054677,-1.1992693173401352,-1.1577756227679088,-0.789868327148899,-0.9940425031926639,0.0019245503868437347,2012-05-18 14:00:00,1.271,0.00031476235702115885,1.0,0.4621171572600098,,,,,,
-0.40563938586717485,-1.0498702725784692,-1.183347444864925,-1.1122311986270945,-0.7916010455364061,-0.994852114726984,0.0036482789616932437,2012-05-18 15:00:00,1.2718,0.0006292276438534528,1.0,0.4621171572600098,,,,,,
-0.35626545312594027,-1.0344889565460742,-1.174108555797596,-1.0669707520735843,-0.7932492287929407,-0.995647559273168,0.0038446496945538505,2012-05-18 16:00:00,1.27225,0.0003537666356346892,1.0,0.4621171572600098,,,,,,
-0.392961242415417,-1.0383218182412635,-1.1772633940671504,-1.0303038374160451,-0.794908214390404,-0.9964466315463264,0.0038410331773605783,2012-05-18 17:00:00,1.27205,-0.0001572141653202186,1.0,0.4621171572600098,,,,,,
-0.2430882499252649,-1.0008711312784548,-1.1537372468977523,-0.9829439542632753,-0.7963741380405976,-0.9972110552736922,0.004941767910778924,2012-05-18 18:00:00,1.27325,0.0009429144610920703,1.0,0.4621171572600098,,,,,,
-0.45969823192177073,-1.0446243492225522,-1.1826386702013432,-0.9618905043253135,-0.7980489052750844,-0.9980160604926656,0.0042308207426862005,2012-05-18 19:00:00,1.2717,-0.0012180987380127903,1.0,0.4621171572600098,,,,,,
-0.20473175682786338,-0.9850499592289956,-1.1448198520637516,-0.9179659773620129,-0.7994212781884052,-0.9987659015457856,0.0028130512787473833,2012-05-18 20:00:00,1.27365,0.0015322060867808962,1.0,0.4621171572600098,,,,,,
0.34255883657650527,-0.8563695281634719,-1.0622430996690593,-0.8252896358991577,-0.8001518748956129,-0.9993964506897111,0.0028123919947377757,2012-05-18 21:00:00,1.27795,0.003370437427975825,1.0,0.4621171572600098,,,,,,
0.3364485411653361,-0.8460347986958449,-1.055956467077833,-0.7435265604911154,-0.8008284884360598,-1.0000172658617756,0.002031965061616167,2012-05-18 22:00:00,1.27825,0.00023472341865080068,1.0,0.4621171572600098,,,,,,
0.29495269526363843,-0.8445786675353919,-1.0553911729313574,-0.6747249295220471,-0.8014952566473155,-1.0006365659530112,0.004302427726485328,2012-05-18 23:00:00,1.27825,0.0,1.0,0.4621171572600098,,,,,,
-0.0871503912107827,-0.9212759771958915,-1.1053311931936642,-0.6505138395328924,-0.8025379579974579,-1.0013267832366683,0.0032051309489483505,2012-05-21 00:00:00,1.2756,-0.0020752988242060955,-1.0,-0.4621171572600098,,,,,,
0.10480687592879835,-0.8738776563469921,-1.0751897436764872,-0.60958920531779,-0.8033420027108654,-1.001972989681023,0.0012505863752765712,2012-05-21 01:00:00,1.27715,0.0012143768018673395,-1.0,-0.4621171572600098,,,,,,
0.27306844696725086,-0.8295756425511032,-1.0469758997184446,-0.5562143052949271,-0.8039240309015552,-1.0025780017415082,-0.0017186832870147305,2012-05-21 02:00:00,1.2786,0.0011346963948564714,-1.0,-0.4621171572600098,,,,,,
0.5764595120357447,-0.7529665849829443,-0.9978163554108083,-0.4786253904445307,-0.8041258832350252,-1.0031118340765912,-0.0003125854751353384,2012-05-21 03:00:00,1.28115,0.001992382727639519,-1.0,-0.4621171572600098,,,,,,
0.36050621941886374,-0.7901478205589881,-1.0220709147167557,-0.43027768674730293,-0.8045112505075647,-1.003679844461779,-0.0006254397827210466,2012-05-21 04:00:00,1.27985,-0.0010152285135947292,-1.0,-0.4621171572600098,,,,,,
0.2844941128900915,-0.7991941213756861,-1.0282014373991575,-0.3940233764088467,-0.8049402540787779,-1.0042560043495332,-0.000312805476646375,2012-05-21 05:00:00,1.2795,-0.00027350694682765075,-1.0,-0.4621171572600098,,,,,,
0.18865129039714099,-0.8141130466818906,-1.0381401294334147,-0.3703586303062155,-0.8054416185047868,-1.004845763547747,0.0008208736901869764,2012-05-21 06:00:00,1.27895,-0.00042994782659233616,-1.0,-0.4621171572600098,,,,,,
