index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
40005,-0.20745251797177644,1.0482929855822212,0.2717738781145894,0.400293082751069,0.9161384832599754,-0.893140231649902,0.0,1.0,0,-1.1754286416959792,2006-05-23 21:00:00,1.2816,-0.002727238999000597,-0.5936202754870632,-0.2883907463721632,,,,,,
40006,-0.7340009088924865,0.9184555689825988,0.19975501714205746,0.29321687263137103,0.9154758724048476,-0.8922711899666957,0.0,1.0,0,-0.5277539654778783,2006-05-23 22:00:00,1.2783,-0.002578227140118794,3.9202486446617573,0.9610993163118748,,,,,,
40007,-0.7033779591021521,0.9115060410715191,0.19597106949447946,0.2017629087901617,0.9147861530328467,-0.8914078347207148,0.0,0.0,1,-1.061260603427882,2006-05-23 23:00:00,1.27815,-0.00011735023190145857,3.935159770241455,0.9616640301221913,,,,,,
40008,-0.4691210359526234,0.9531759763828287,0.2192479814217682,0.14407936904792376,0.9143036796050259,-0.8905163319799997,0.0,0.0,1,-0.38236782233718297,2006-05-24 00:00:00,1.27925,0.0008602487431266237,3.391091184922324,0.9348498994967704,,,,,,
40009,-0.7801680912707589,0.8722420362997289,0.1743222273810554,0.062113030546974875,0.9134366599669795,-0.8896819694432225,0.0,0.0,1,-1.5212346155797591,2006-05-24 01:00:00,1.2772,-0.001603786844574323,4.532030798170125,0.9787114297521777,,,,,,
40010,-0.46304747735985236,0.9334666486646156,0.20843592395514127,0.02077955674173557,0.9128720693966472,-0.8888058778740029,0.0,0.0,1,-1.590237566728987,2006-05-24 02:00:00,1.2788,0.0012519563450594515,3.4239179895009184,0.9368874544936374,,,,,,
40011,-0.3104430700143837,0.9614484993002703,0.22412769176090322,-0.0010579936037485842,0.91244805612524,-0.8879111351691353,0.0,0.0,1,-1.5462790648776457,2006-05-24 03:00:00,1.27955,0.0005863154153930572,3.0729024258504345,0.9115221096821335,,,,,,
40012,-0.41148291917716884,0.9329715114984352,0.20842253272863873,-0.030820584091866807,0.9118918380724018,-0.887037009552058,0.0,0.0,1,-1.3643058282516647,2006-05-24 04:00:00,1.27885,-0.0005472170242867835,3.5860808319833284,0.9460805208158465,,,,,,
40013,-0.4402108966021636,0.9201331020284017,0.20138638110287596,-0.06043892160576758,0.9112794890310774,-0.886172639684296,0.0,0.0,1,-0.634871364691214,2006-05-24 05:00:00,1.27855,-0.0002346132801877288,4.172613772702147,0.9696439960987229,,,,,,
40014,-0.5353164437858507,0.8917833400949204,0.18569586399812063,-0.09652311160045489,0.9105365887815918,-0.8853288304217771,0.0,0.0,1,-1.8937143403378107,2006-05-24 06:00:00,1.27785,-0.0005476451396457528,4.9423072684278635,0.9858249633236409,,,,,,
40015,0.17851769465752698,1.0501084559952727,0.2739198374985407,-0.05827940929639456,0.9105631892836047,-0.8843756721613573,1.0,0.0,0,-3.2099405530513967,2006-05-24 07:00:00,1.28195,0.003203378003013152,0.10547188555396549,0.05268710948069866,,,,,,
40016,0.404092923060598,1.1049135945312334,0.3047208431020243,-0.002723433210446374,0.9108562394570906,-0.8833850702927946,1.0,0.0,0,-3.1775005458873427,2006-05-24 08:00:00,1.2834,0.0011304501564427527,-0.7253337570719012,-0.3475609272607375,,,,,,
40017,0.6510674425753277,1.1673157864007564,0.33983161758569785,0.07034109681385371,0.9114508527630446,-0.8823516839414854,1.0,0.0,0,-3.9796821934849396,2006-05-24 09:00:00,1.28505,0.0012848217617476565,-0.547909820590348,-0.2673010351797087,,,,,,
40018,0.7428497491184842,1.1964791278988007,0.35651987573909555,0.1436335292285569,0.9121851993429265,-0.8812985909175701,1.0,0.0,0,-4.454183655390978,2006-05-24 10:00:00,1.28585,0.0006223501698403022,-1.00451962170076,-0.46389252334798026,,,,,,
40019,0.8485817835233818,1.2294316456945675,0.37536036062481287,0.21864963258083045,0.9130767522534335,-0.8802231237271139,1.0,0.0,0,-4.0274551884955825,2006-05-24 11:00:00,1.28675,0.0006996812848609758,-1.468917452707406,-0.6257855768223403,,,,,,
40020,0.49831856575510736,1.1573527014815843,0.3357457988360895,0.25018864329084195,0.9136185606292304,-0.879198371619599,1.0,0.0,0,-4.9699170936787915,2006-05-24 12:00:00,1.28495,-0.0013998524664137204,-1.1362889008371433,-0.5139952506417601,,,,,,
40021,0.7750729790201082,1.2254097027540876,0.37408493538340304,0.30550625004776594,0.9144878133173251,-0.8781268429301837,0.5,0.5,0,-2.610727327607177,2006-05-24 13:00:00,1.28675,0.0013998524664137204,-2.1832131368944494,-0.7974637677061109,,,,,,
40022,0.232141145530863,1.1067208014833716,0.3084970912359531,0.30074930580821374,0.9147828314267744,-0.8771384858329078,0.5,0.5,0,1.3358539055965417,2006-05-24 14:00:00,1.28375,-0.0023341772900960234,-1.690753806491423,-0.6886465340837182,,,,,,
40023,-1.013306147821994,0.817424801270825,0.14770568159769468,0.173467257220617,0.9136847531229569,-0.8763521827651807,0.5,0.5,0,2.398725373638473,2006-05-24 15:00:00,1.27635,-0.00578104027909182,4.545837027223379,0.979000260144119,,,,,,
40024,-1.237363131500864,0.7486105434619796,0.10932741589080298,0.039007922405490815,0.9122638338420643,-0.87561469886837,0.5,0.5,0,0.8664007302574865,2006-05-24 16:00:00,1.2746,-0.0013720380834824075,4.622411024212627,0.9805332018179529,,,,,,
40025,-0.9835681856429623,0.7888214213212577,0.1315873301765128,-0.05471460661990327,0.9110472247914495,-0.8748501921406707,0.5,0.5,0,1.668592099940983,2006-05-24 17:00:00,1.27565,0.0008234487280313341,4.965416166709883,0.9861465339363742,,,,,,
40026,-0.8086347061335933,0.8153073823352319,0.1462594714347777,-0.12047412513483402,0.9099676353990845,-0.8740681805295839,0.0,1.0,0,2.100968984088338,2006-05-24 18:00:00,1.27635,0.0005485893554510736,5.793709143544775,0.9939251865133341,,,,,,
40027,-0.4298732107121292,0.8922274265378931,0.18906595427074926,-0.14149338000170858,0.9092673038408149,-0.8732335271509828,0.0,1.0,0,1.1748103458093149,2006-05-24 19:00:00,1.27835,0.0015657418942273127,4.714071556838989,0.9822230497313809,,,,,,
40028,-0.5118714364055241,0.8678684734507207,0.17556036761014812,-0.16868385580388415,0.9084560593148516,-0.8724166685131244,0.0,1.0,0,4.015533681361156,2006-05-24 20:00:00,1.27775,-0.00046946520951451914,5.276869166360377,0.9898351275661248,,,,,,
40029,-0.8912400799532073,0.773636877654437,0.12309609258967566,-0.2307728635923119,0.9071978306264809,-0.8716662666619877,0.0,1.0,0,5.675521100444051,2006-05-24 21:00:00,1.27535,-0.0018800679228631878,6.342577083463156,0.9964866599672138,,,,,,
40030,-0.7964438610229815,0.7846112851058885,0.12911373227593598,-0.2767762105926366,0.9060020729069206,-0.8709091570694326,0.0,1.0,0,2.844526366644468,2006-05-24 22:00:00,1.27565,0.00023520188269932074,6.625831272356644,0.9973521542439636,2.3187325785468267,0.4398999094946859,0.0005453702679504642,0.0005453702679504642,0.00010346528691241092,0.00010346528691241092
40031,-0.5420843953060028,0.834404591825946,0.15677570089418155,-0.29284807295612725,0.905055475362644,-0.8701183006084225,0.0,0.0,1,2.490654888210722,2006-05-24 23:00:00,1.27695,0.001018569389950735,6.809646383397236,0.9977962651034271,2.607740801836419,0.49343646809215996,0.0026561649576761623,0.0032015352256266265,0.0005025992822840767,0.0006060645691964876
